Features,coefficients,Target
Nscore,0.604871,Mushrooms
Age_55 - 64,0.624792,Mushrooms
Escore,0.64229,Mushrooms
Crack,0.678386,Mushrooms
Education_Professional Certificate/ Diploma,0.694678,Mushrooms
Nicotine,0.746228,Mushrooms
Country_New Zealand,0.792718,Mushrooms
Semer,0.808377,Mushrooms
Country_Republic of Ireland,0.815966,Mushrooms
Cscore,0.837067,Mushrooms
Choc,0.849613,Mushrooms
Gender_Female,0.858417,Mushrooms
VSA,0.871261,Mushrooms
Age_25 - 34,0.9032,Mushrooms
Education_Left School at 16 years,0.914327,Mushrooms
Heroin,0.9148,Mushrooms
Impulsive,0.917758,Mushrooms
Benzos,0.965339,Mushrooms
Meth,0.977042,Mushrooms
Age_45 - 54,0.981302,Mushrooms
Ecstasy,0.992399,Mushrooms
Education_Left School at 17 years,0.997554,Mushrooms
Education_University Degree,0.999213,Mushrooms
Education_Left School Before 16 years,1.000093,Mushrooms
Ascore,1.007829,Mushrooms
SS,1.018086,Mushrooms
Amyl,1.026612,Mushrooms
Education_Left School at 18 years,1.079973,Mushrooms
Country_Other,1.098112,Mushrooms
Amphet,1.125077,Mushrooms
Country_Australia,1.159518,Mushrooms
Gender_Male,1.164935,Mushrooms
Caff,1.180999,Mushrooms
Legalh,1.204796,Mushrooms
Education_Masters Degree,1.209343,Mushrooms
Coke,1.213879,Mushrooms
Age_18 - 24,1.243138,Mushrooms
Country_Canada,1.25561,Mushrooms
Age_35 - 44,1.322645,Mushrooms
Alcohol,1.369791,Mushrooms
Ketamine,1.410444,Mushrooms
"Education_Some College,No Certificate Or Degree",1.496267,Mushrooms
Oscore,1.525762,Mushrooms
Country_USA,1.743107,Mushrooms
LSD,1.986283,Mushrooms
Cannabis,2.377744,Mushrooms
Mushrooms,0,Mushrooms
